,Date,Close
0,2023-09-08 04:00:00,137.2
1,2023-09-11 04:00:00,137.74
2,2023-09-12 04:00:00,136.07
3,2023-09-13 04:00:00,137.5
4,2023-09-14 04:00:00,138.99
5,2023-09-15 04:00:00,138.3
6,2023-09-18 04:00:00,138.96
7,2023-09-19 04:00:00,138.83
8,2023-09-20 04:00:00,134.59
9,2023-09-21 04:00:00,131.36
10,2023-09-22 04:00:00,131.25
11,2023-09-25 04:00:00,132.17
12,2023-09-26 04:00:00,129.45
13,2023-09-27 04:00:00,131.46
14,2023-09-28 04:00:00,133.13
15,2023-09-29 04:00:00,131.85
16,2023-10-02 04:00:00,135.17
17,2023-10-03 04:00:00,133.3
18,2023-10-04 04:00:00,136.27
19,2023-10-05 04:00:00,135.99
20,2023-10-06 04:00:00,138.73
21,2023-10-09 04:00:00,139.5
22,2023-10-10 04:00:00,139.2
23,2023-10-11 04:00:00,141.7
24,2023-10-12 04:00:00,140.29
25,2023-10-13 04:00:00,138.58
26,2023-10-16 04:00:00,140.49
27,2023-10-17 04:00:00,140.99
28,2023-10-18 04:00:00,139.28
29,2023-10-19 04:00:00,138.98
30,2023-10-20 04:00:00,136.74
31,2023-10-23 04:00:00,137.9
32,2023-10-24 04:00:00,140.12
33,2023-10-25 04:00:00,126.67
34,2023-10-26 04:00:00,123.44
35,2023-10-27 04:00:00,123.4
36,2023-10-30 04:00:00,125.75
37,2023-10-31 04:00:00,125.3
38,2023-11-01 04:00:00,127.57
39,2023-11-02 04:00:00,128.58
40,2023-11-03 04:00:00,130.37
41,2023-11-06 05:00:00,131.45
42,2023-11-07 05:00:00,132.4
43,2023-11-08 05:00:00,133.26
44,2023-11-09 05:00:00,131.69
45,2023-11-10 05:00:00,134.06
46,2023-11-13 05:00:00,133.64
47,2023-11-14 05:00:00,135.43
48,2023-11-15 05:00:00,136.38
49,2023-11-16 05:00:00,138.7
50,2023-11-17 05:00:00,136.94
51,2023-11-20 05:00:00,137.92
52,2023-11-21 05:00:00,138.62
53,2023-11-22 05:00:00,140.02
54,2023-11-24 05:00:00,138.22
55,2023-11-27 05:00:00,138.05
56,2023-11-28 05:00:00,138.62
57,2023-11-29 05:00:00,136.4
58,2023-11-30 05:00:00,133.92
59,2023-12-01 05:00:00,133.32
60,2023-12-04 05:00:00,130.63
61,2023-12-05 05:00:00,132.39
62,2023-12-06 05:00:00,131.43
63,2023-12-07 05:00:00,138.45
64,2023-12-08 05:00:00,136.64
65,2023-12-11 05:00:00,134.7
66,2023-12-12 05:00:00,133.64
67,2023-12-13 05:00:00,133.97
68,2023-12-14 05:00:00,133.2
69,2023-12-15 05:00:00,133.84
70,2023-12-18 05:00:00,137.19
71,2023-12-19 05:00:00,138.1
72,2023-12-20 05:00:00,139.66
73,2023-12-21 05:00:00,141.8
74,2023-12-22 05:00:00,142.72
75,2023-12-26 05:00:00,142.82
76,2023-12-27 05:00:00,141.44
77,2023-12-28 05:00:00,141.28
78,2023-12-29 05:00:00,140.93
79,2024-01-02 05:00:00,139.56
80,2024-01-03 05:00:00,140.36
81,2024-01-04 05:00:00,138.04
82,2024-01-05 05:00:00,137.39
